Item,Peso,Volumen,Utilidad,,PRECIO POR VOLUMEN,,1
A,4.805965901,17.96336129,35.92672258,,PRECIO POR PESO,,2
B,2.696559365,1.100559523,2.696559365,,,,
C,5.610976212,56.59750489,113.1950098,,,,
D,6.441455459,6.498816353,12.99763271,,,,
E,8.087263359,40.48301397,80.96602795,,,,
F,1.657033301,1.741184342,3.482368683,,,,
G,4.23345257,23.53993109,47.07986218,,,,
H,3.315941769,32.59185366,65.18370732,,,,
J,2.972527202,9.1467604,18.2935208,,,,
U,2.621536918,0.1881549701,2.621536918,,,,
K,3.135897307,20.45266457,40.90532913,,,,
S,3.671667856,13.79199391,27.58398782,,,,
N,5.165043237,36.71706906,73.43413812,,,,